customer_id,registration_date,city,age,gender,preferred_payment,snapshot_date,customer_lifetime_days,orders_total,orders_amount_total,orders_amount_mean,orders_quantity_total,orders_cancelled_total,delivered_orders_total,delivered_amount_total,delivered_amount_mean,delivered_orders_30d,delivered_amount_30d,delivered_orders_90d,delivered_amount_90d,days_since_last_order,visits_total,pages_viewed_total,pages_viewed_mean,cart_adds_total,checkout_initiated_total,session_duration_mean,visits_30d,cart_adds_30d,checkout_initiated_30d,visits_90d,cart_adds_90d,checkout_initiated_90d,days_since_last_visit,support_tickets_total,support_rating_mean,support_resolution_days_mean,support_tickets_90d,days_since_last_ticket,churn_flag
13,2022-01-27,Красноярск,53,M,card,2023-04-01,429,10.0,154400.0,15440.0,18.0,3.0,5.0,104165.0,20833.0,0.0,0.0,0.0,0.0,136.0,4.0,51.0,12.75,10.0,0.0,311.0,0.0,0.0,0.0,4.0,10.0,0.0,40.0,1.0,1.0,0.0,0.0,370.0,1
14,2022-01-01,Волгоград,46,Ж,cash,2023-04-01,455,14.0,120941.0,8638.642857142857,21.0,4.0,5.0,50805.0,10161.0,0.0,0.0,0.0,0.0,248.0,1.0,3.0,3.0,0.0,0.0,87.0,1.0,0.0,0.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,1
15,2022-03-31,Казань,65,M,cash,2023-04-01,366,15.0,151952.0,10130.133333333333,26.0,3.0,9.0,101987.0,11331.888888888889,0.0,0.0,2.0,20114.0,49.0,9.0,109.0,12.11111111111111,26.0,3.0,328.6666666666667,3.0,7.0,0.0,9.0,26.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0
16,2022-04-14,Омск,26,M,online,2023-04-01,352,1.0,34437.0,34437.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,95.0,11.875,12.0,4.0,269.25,4.0,7.0,1.0,8.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1
19,2022-01-03,Москва,59,Ж,card,2023-04-01,453,14.0,238926.0,17066.14285714286,34.0,2.0,10.0,126601.0,12660.1,2.0,9776.0,4.0,46529.0,8.0,5.0,91.0,18.2,15.0,4.0,453.4,1.0,3.0,1.0,5.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1
20,2022-06-25,Челябинск,41,M,card,2023-04-01,280,15.0,230399.0,15359.933333333332,34.0,2.0,10.0,128913.0,12891.3,1.0,19636.0,3.0,21628.0,17.0,8.0,82.0,10.25,18.0,1.0,245.125,0.0,0.0,0.0,8.0,18.0,1.0,35.0,0.0,0.0,0.0,0.0,0.0,1
22,2022-08-19,Ростов-на-Дону,28,Ж,card,2023-04-01,225,13.0,175592.0,13507.076923076924,27.0,4.0,9.0,141718.0,15746.444444444445,2.0,22717.0,3.0,60976.0,5.0,3.0,31.0,10.333333333333334,4.0,2.0,324.0,1.0,1.0,1.0,3.0,4.0,2.0,27.0,0.0,0.0,0.0,0.0,0.0,0
23,2022-09-05,Москва,67,Ж,online,2023-04-01,208,14.0,252874.0,18062.428571428572,32.0,4.0,9.0,154097.0,17121.88888888889,1.0,17888.0,3.0,59586.0,8.0,10.0,196.0,19.6,26.0,4.0,469.9,5.0,12.0,1.0,10.0,26.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0
25,2022-03-05,Челябинск,55,Ж,card,2023-04-01,392,11.0,211770.0,19251.81818181818,20.0,1.0,7.0,166071.0,23724.428571428572,0.0,0.0,1.0,11735.0,74.0,2.0,8.0,4.0,6.0,1.0,108.5,1.0,2.0,0.0,2.0,6.0,1.0,23.0,2.0,3.0,1.0,0.0,181.0,1
26,2022-12-25,Уфа,24,Ж,cash,2023-04-01,97,8.0,136158.0,17019.75,16.0,1.0,6.0,106099.0,17683.166666666668,0.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
28,2022-03-02,Казань,44,M,online,2023-04-01,395,17.0,329513.0,19383.117647058825,37.0,3.0,14.0,240972.0,17212.285714285714,0.0,0.0,1.0,3042.0,33.0,2.0,24.0,12.0,3.0,1.0,205.5,0.0,0.0,0.0,2.0,3.0,1.0,45.0,1.0,2.0,0.0,0.0,156.0,0
29,2023-02-01,Ростов-на-Дону,32,Ж,card,2023-04-01,59,30.0,424762.0,14158.733333333334,56.0,5.0,18.0,240936.0,13385.333333333334,0.0,0.0,3.0,31696.0,42.0,9.0,99.0,11.0,12.0,3.0,345.6666666666667,4.0,5.0,2.0,9.0,12.0,3.0,0.0,3.0,3.0,10.5,0.0,327.0,0
31,2022-10-16,Санкт-Петербург,30,Ж,cash,2023-04-01,167,1.0,8780.0,8780.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,59.0,14.75,11.0,2.0,510.75,0.0,0.0,0.0,4.0,11.0,2.0,52.0,1.0,5.0,12.0,0.0,168.0,1
32,2022-07-12,Пермь,77,Ж,card,2023-04-01,263,5.0,83347.0,16669.4,13.0,2.0,1.0,10334.0,10334.0,0.0,0.0,1.0,10334.0,73.0,6.0,51.0,8.5,4.0,0.0,157.33333333333334,2.0,0.0,0.0,6.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0
33,2022-02-21,Волгоград,57,Ж,online,2023-04-01,404,17.0,306305.0,18017.941176470587,31.0,4.0,8.0,146009.0,18251.125,0.0,0.0,1.0,15002.0,78.0,7.0,88.0,12.571428571428571,23.0,4.0,275.2857142857143,3.0,10.0,1.0,7.0,23.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0
34,2022-09-07,Воронеж,71,M,cash,2023-04-01,206,5.0,128503.0,25700.6,13.0,2.0,2.0,52115.0,26057.5,0.0,0.0,0.0,0.0,214.0,8.0,100.0,12.5,12.0,3.0,344.875,2.0,3.0,0.0,8.0,12.0,3.0,22.0,1.0,1.0,10.0,0.0,199.0,0
35,2023-03-13,Москва,58,Ж,cash,2023-04-01,19,14.0,227168.0,16226.285714285714,30.0,2.0,11.0,152448.0,13858.90909090909,0.0,0.0,1.0,12204.0,37.0,11.0,152.0,13.818181818181818,11.0,3.0,391.1818181818182,2.0,0.0,0.0,11.0,11.0,3.0,5.0,1.0,1.0,6.0,0.0,272.0,0
36,2022-03-22,Москва,62,Ж,card,2023-04-01,375,8.0,95376.0,11922.0,16.0,1.0,5.0,68801.0,13760.2,0.0,0.0,0.0,0.0,223.0,5.0,62.0,12.4,6.0,3.0,310.0,1.0,2.0,0.0,5.0,6.0,3.0,27.0,2.0,2.5,4.0,0.0,93.0,0
38,2022-06-22,Санкт-Петербург,35,M,cash,2023-04-01,283,6.0,84772.0,14128.666666666666,10.0,0.0,4.0,47357.0,11839.25,0.0,0.0,2.0,35965.0,46.0,8.0,75.0,9.375,16.0,5.0,268.0,5.0,11.0,3.0,8.0,16.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0
42,2023-02-05,Красноярск,48,M,cash,2023-04-01,55,1.0,25610.0,25610.0,2.0,0.0,1.0,25610.0,25610.0,0.0,0.0,0.0,0.0,184.0,5.0,61.0,12.2,6.0,1.0,393.2,4.0,6.0,1.0,5.0,6.0,1.0,7.0,1.0,3.0,0.0,0.0,291.0,1
52,2022-07-17,Самара,24,Ж,cash,2023-04-01,258,4.0,39136.0,9784.0,9.0,1.0,2.0,30165.0,15082.5,0.0,0.0,1.0,24729.0,72.0,5.0,34.0,6.8,9.0,4.0,173.8,3.0,7.0,2.0,5.0,9.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,1
53,2022-02-02,Екатеринбург,33,M,card,2023-04-01,423,5.0,62730.0,12546.0,9.0,0.0,4.0,49691.0,12422.75,0.0,0.0,1.0,15804.0,38.0,3.0,24.0,8.0,3.0,0.0,238.33333333333334,0.0,0.0,0.0,3.0,3.0,0.0,35.0,1.0,4.0,8.0,0.0,211.0,0
56,2022-08-16,Красноярск,39,M,card,2023-04-01,228,5.0,104637.0,20927.4,10.0,1.0,3.0,61079.0,20359.666666666668,0.0,0.0,1.0,36945.0,48.0,5.0,56.0,11.2,11.0,3.0,269.4,3.0,4.0,1.0,5.0,11.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,1
57,2022-03-26,Казань,40,Ж,online,2023-04-01,371,11.0,247994.0,22544.909090909092,23.0,3.0,6.0,123803.0,20633.833333333332,1.0,6592.0,1.0,6592.0,21.0,4.0,30.0,7.5,8.0,1.0,136.25,1.0,3.0,0.0,4.0,8.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0
58,2023-01-20,Воронеж,47,Ж,online,2023-04-01,71,5.0,79851.0,15970.2,12.0,0.0,2.0,51531.0,25765.5,0.0,0.0,0.0,0.0,210.0,5.0,76.0,15.2,12.0,2.0,346.4,1.0,1.0,1.0,5.0,12.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1
59,2022-05-21,Екатеринбург,55,Ж,cash,2023-04-01,315,5.0,83436.0,16687.2,11.0,1.0,4.0,66759.0,16689.75,0.0,0.0,2.0,39528.0,62.0,15.0,199.0,13.266666666666667,28.0,7.0,339.6,4.0,9.0,2.0,15.0,28.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0
60,2023-02-18,Санкт-Петербург,20,M,online,2023-04-01,42,25.0,442183.0,17687.32,54.0,3.0,17.0,261820.0,15401.176470588236,0.0,0.0,3.0,15384.0,67.0,8.0,72.0,9.0,11.0,3.0,254.625,3.0,6.0,1.0,8.0,11.0,3.0,5.0,1.0,1.0,0.0,0.0,348.0,0
63,2023-03-06,Самара,61,Ж,cash,2023-04-01,26,4.0,69710.0,17427.5,8.0,1.0,3.0,28685.0,9561.666666666666,0.0,0.0,0.0,0.0,141.0,1.0,15.0,15.0,3.0,1.0,435.0,1.0,3.0,1.0,1.0,3.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0
64,2022-10-15,Красноярск,46,M,cash,2023-04-01,168,15.0,174825.0,11655.0,26.0,3.0,10.0,81366.0,8136.6,0.0,0.0,3.0,21395.0,32.0,3.0,41.0,13.666666666666666,7.0,2.0,362.6666666666667,2.0,7.0,2.0,3.0,7.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0
70,2022-11-19,Воронеж,25,Ж,card,2023-04-01,133,6.0,92056.0,15342.666666666666,10.0,0.0,4.0,40213.0,10053.25,0.0,0.0,1.0,13246.0,39.0,3.0,44.0,14.666666666666666,3.0,1.0,337.0,1.0,1.0,1.0,3.0,3.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,1
71,2022-04-13,Нижний Новгород,59,Ж,online,2023-04-01,353,9.0,150020.0,16668.88888888889,18.0,0.0,7.0,102938.0,14705.42857142857,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
72,2022-01-01,Уфа,71,M,online,2023-04-01,455,11.0,161270.0,14660.90909090909,19.0,1.0,6.0,114771.0,19128.5,1.0,2877.0,2.0,25003.0,20.0,3.0,20.0,6.666666666666667,7.0,3.0,147.66666666666666,1.0,2.0,1.0,3.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0
74,2023-01-30,Омск,42,M,cash,2023-04-01,61,9.0,165399.0,18377.666666666668,17.0,3.0,4.0,74962.0,18740.5,1.0,26148.0,1.0,26148.0,21.0,3.0,56.0,18.666666666666668,7.0,1.0,445.0,1.0,2.0,0.0,3.0,7.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0
75,2022-07-07,Санкт-Петербург,77,M,online,2023-04-01,268,5.0,120813.0,24162.6,11.0,1.0,2.0,74400.0,37200.0,0.0,0.0,0.0,0.0,269.0,11.0,122.0,11.090909090909092,27.0,7.0,247.63636363636363,3.0,4.0,1.0,11.0,27.0,7.0,14.0,0.0,0.0,0.0,0.0,0.0,0
76,2023-01-07,Нижний Новгород,60,Ж,cash,2023-04-01,84,12.0,161187.0,13432.25,25.0,1.0,9.0,129789.0,14421.0,1.0,38202.0,1.0,38202.0,12.0,6.0,58.0,9.666666666666666,7.0,4.0,225.0,3.0,2.0,1.0,6.0,7.0,4.0,11.0,1.0,4.0,1.0,0.0,338.0,0
77,2022-12-16,Воронеж,65,M,cash,2023-04-01,106,4.0,83983.0,20995.75,7.0,0.0,4.0,83983.0,20995.75,0.0,0.0,0.0,0.0,210.0,10.0,97.0,9.7,16.0,5.0,224.5,2.0,0.0,0.0,10.0,16.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1
79,2023-02-07,Екатеринбург,64,Ж,online,2023-04-01,53,9.0,216914.0,24101.555555555555,24.0,1.0,8.0,179324.0,22415.5,0.0,0.0,1.0,43167.0,33.0,10.0,137.0,13.7,17.0,4.0,338.9,5.0,9.0,1.0,10.0,17.0,4.0,4.0,1.0,1.0,2.0,0.0,238.0,0
82,2022-03-05,Нижний Новгород,25,M,card,2023-04-01,392,9.0,156403.0,17378.11111111111,21.0,3.0,3.0,71696.0,23898.666666666668,1.0,45963.0,1.0,45963.0,2.0,8.0,94.0,11.75,22.0,5.0,309.5,4.0,9.0,1.0,8.0,22.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0
83,2022-04-01,Ростов-на-Дону,36,M,cash,2023-04-01,365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
85,2022-11-26,Воронеж,18,Ж,cash,2023-04-01,126,17.0,220255.0,12956.176470588236,33.0,1.0,11.0,120085.0,10916.818181818182,0.0,0.0,3.0,28768.0,47.0,6.0,66.0,11.0,12.0,4.0,259.6666666666667,2.0,5.0,2.0,6.0,12.0,4.0,2.0,1.0,4.0,13.0,1.0,64.0,0
87,2022-12-16,Уфа,39,Ж,cash,2023-04-01,106,10.0,189969.0,18996.9,24.0,1.0,7.0,113771.0,16253.0,1.0,40803.0,1.0,40803.0,21.0,1.0,4.0,4.0,3.0,1.0,144.0,0.0,0.0,0.0,1.0,3.0,1.0,55.0,2.0,4.0,0.0,0.0,112.0,0
88,2022-04-15,Нижний Новгород,51,M,online,2023-04-01,351,15.0,209773.0,13984.866666666667,30.0,2.0,11.0,146117.0,13283.363636363636,2.0,25042.0,6.0,76509.0,9.0,9.0,111.0,12.333333333333334,24.0,6.0,298.22222222222223,2.0,6.0,2.0,9.0,24.0,6.0,13.0,0.0,0.0,0.0,0.0,0.0,0
89,2023-01-12,Нижний Новгород,51,Ж,online,2023-04-01,79,11.0,182538.0,16594.363636363636,18.0,4.0,5.0,85029.0,17005.8,0.0,0.0,0.0,0.0,203.0,5.0,78.0,15.6,14.0,1.0,387.6,2.0,5.0,0.0,5.0,14.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0
91,2022-02-17,Челябинск,18,M,card,2023-04-01,408,2.0,38583.0,19291.5,6.0,0.0,2.0,38583.0,19291.5,0.0,0.0,1.0,12270.0,73.0,8.0,94.0,11.75,14.0,3.0,267.5,2.0,1.0,1.0,8.0,14.0,3.0,0.0,2.0,2.5,9.0,0.0,339.0,0
95,2022-05-06,Воронеж,24,Ж,online,2023-04-01,330,2.0,22183.0,11091.5,5.0,0.0,1.0,15220.0,15220.0,1.0,15220.0,1.0,15220.0,10.0,3.0,48.0,16.0,4.0,1.0,334.6666666666667,1.0,1.0,0.0,3.0,4.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,1
96,2023-01-25,Нижний Новгород,31,M,card,2023-04-01,66,2.0,37500.0,18750.0,6.0,0.0,2.0,37500.0,18750.0,2.0,37500.0,2.0,37500.0,4.0,11.0,128.0,11.636363636363637,26.0,6.0,362.3636363636364,3.0,7.0,2.0,11.0,26.0,6.0,14.0,2.0,3.0,9.0,1.0,75.0,1
97,2022-09-11,Пермь,45,Ж,online,2023-04-01,202,8.0,144751.0,18093.875,17.0,1.0,5.0,102242.0,20448.4,0.0,0.0,1.0,34350.0,36.0,7.0,88.0,12.571428571428571,17.0,4.0,360.85714285714283,0.0,0.0,0.0,7.0,17.0,4.0,30.0,0.0,0.0,0.0,0.0,0.0,0
98,2022-05-13,Ростов-на-Дону,21,M,cash,2023-04-01,323,11.0,178224.0,16202.181818181818,22.0,3.0,5.0,101334.0,20266.8,0.0,0.0,1.0,8406.0,58.0,1.0,5.0,5.0,1.0,1.0,150.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0
101,2023-01-02,Воронеж,49,Ж,card,2023-04-01,89,9.0,96712.0,10745.777777777777,14.0,5.0,2.0,30213.0,15106.5,0.0,0.0,1.0,12294.0,31.0,10.0,107.0,10.7,22.0,4.0,318.6,4.0,9.0,1.0,10.0,22.0,4.0,21.0,0.0,0.0,0.0,0.0,0.0,1
103,2022-06-02,Екатеринбург,69,M,cash,2023-04-01,303,2.0,12801.0,6400.5,3.0,0.0,2.0,12801.0,6400.5,0.0,0.0,0.0,0.0,173.0,9.0,105.0,11.666666666666666,19.0,3.0,252.11111111111111,0.0,0.0,0.0,9.0,19.0,3.0,38.0,1.0,2.0,0.0,0.0,431.0,1
104,2023-01-17,Воронеж,25,Ж,online,2023-04-01,74,6.0,86122.0,14353.666666666666,9.0,1.0,4.0,62920.0,15730.0,0.0,0.0,0.0,0.0,219.0,2.0,27.0,13.5,4.0,2.0,395.0,1.0,1.0,1.0,2.0,4.0,2.0,23.0,3.0,1.3333333333333333,11.0,1.0,41.0,0
105,2022-01-05,Ростов-на-Дону,60,Ж,cash,2023-04-01,451,16.0,214314.0,13394.625,30.0,4.0,9.0,126966.0,14107.333333333334,0.0,0.0,0.0,0.0,236.0,6.0,89.0,14.833333333333334,10.0,2.0,367.8333333333333,1.0,1.0,0.0,6.0,10.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0,1
106,2022-09-24,Воронеж,28,Ж,online,2023-04-01,189,17.0,305567.0,17974.529411764706,39.0,4.0,13.0,212976.0,16382.76923076923,0.0,0.0,1.0,9441.0,62.0,3.0,50.0,16.666666666666668,4.0,0.0,564.3333333333334,2.0,0.0,0.0,3.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0
107,2022-01-09,Воронеж,22,M,card,2023-04-01,447,7.0,100801.0,14400.142857142857,13.0,1.0,5.0,82713.0,16542.6,1.0,8906.0,2.0,18788.0,8.0,4.0,46.0,11.5,10.0,2.0,339.5,2.0,4.0,0.0,4.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
111,2022-02-04,Волгоград,70,Ж,card,2023-04-01,421,6.0,49555.0,8259.166666666666,12.0,1.0,4.0,30269.0,7567.25,0.0,0.0,0.0,0.0,110.0,4.0,31.0,7.75,9.0,2.0,140.5,1.0,0.0,0.0,4.0,9.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,1
112,2022-11-03,Нижний Новгород,55,Ж,cash,2023-04-01,149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
113,2022-12-18,Екатеринбург,76,M,card,2023-04-01,104,1.0,7872.0,7872.0,2.0,0.0,1.0,7872.0,7872.0,0.0,0.0,0.0,0.0,329.0,5.0,62.0,12.4,12.0,3.0,303.8,2.0,3.0,1.0,5.0,12.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0
114,2022-07-27,Казань,48,M,online,2023-04-01,248,4.0,61560.0,15390.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,61.0,12.2,6.0,3.0,275.0,1.0,2.0,1.0,5.0,6.0,3.0,28.0,0.0,0.0,0.0,0.0,0.0,1
115,2022-07-08,Ростов-на-Дону,22,Ж,online,2023-04-01,267,4.0,67627.0,16906.75,8.0,2.0,1.0,11916.0,11916.0,0.0,0.0,0.0,0.0,168.0,1.0,17.0,17.0,4.0,0.0,442.0,0.0,0.0,0.0,1.0,4.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,1
117,2022-05-24,Красноярск,64,Ж,cash,2023-04-01,312,12.0,250802.0,20900.166666666668,25.0,4.0,5.0,116354.0,23270.8,0.0,0.0,1.0,20898.0,46.0,5.0,51.0,10.2,7.0,4.0,349.2,2.0,3.0,2.0,5.0,7.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0
118,2022-10-20,Пермь,21,Ж,online,2023-04-01,163,19.0,380541.0,20028.473684210527,42.0,7.0,12.0,240324.0,20027.0,2.0,49463.0,2.0,49463.0,2.0,12.0,183.0,15.25,21.0,4.0,417.4166666666667,4.0,6.0,1.0,12.0,21.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0
120,2023-01-13,Самара,65,Ж,online,2023-04-01,78,1.0,21430.0,21430.0,2.0,0.0,1.0,21430.0,21430.0,0.0,0.0,0.0,0.0,209.0,7.0,97.0,13.857142857142858,17.0,3.0,380.7142857142857,1.0,4.0,1.0,7.0,17.0,3.0,27.0,2.0,3.5,4.0,0.0,153.0,1
122,2022-05-19,Новосибирск,26,Ж,cash,2023-04-01,317,4.0,76560.0,19140.0,9.0,1.0,2.0,41628.0,20814.0,0.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
126,2022-04-26,Санкт-Петербург,62,Ж,cash,2023-04-01,340,14.0,268090.0,19149.285714285714,23.0,0.0,12.0,252651.0,21054.25,0.0,0.0,3.0,111849.0,47.0,14.0,166.0,11.857142857142858,32.0,5.0,289.64285714285717,4.0,8.0,2.0,14.0,32.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0
128,2023-04-01,Москва,38,M,card,2023-04-01,0,13.0,245113.0,18854.846153846152,24.0,3.0,5.0,93385.0,18677.0,0.0,0.0,1.0,10146.0,63.0,2.0,32.0,16.0,3.0,1.0,389.5,1.0,2.0,1.0,2.0,3.0,1.0,28.0,0.0,0.0,0.0,0.0,0.0,0
130,2022-01-05,Санкт-Петербург,46,Ж,online,2023-04-01,451,12.0,180765.0,15063.75,22.0,1.0,8.0,140538.0,17567.25,0.0,0.0,1.0,6959.0,65.0,2.0,32.0,16.0,3.0,0.0,504.0,0.0,0.0,0.0,2.0,3.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0
131,2022-08-10,Уфа,46,Ж,card,2023-04-01,234,8.0,79382.0,9922.75,14.0,0.0,5.0,65391.0,13078.2,0.0,0.0,0.0,0.0,92.0,10.0,85.0,8.5,25.0,8.0,241.7,5.0,14.0,4.0,10.0,25.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0
134,2022-08-16,Казань,50,M,cash,2023-04-01,228,12.0,173927.0,14493.916666666666,25.0,3.0,6.0,103997.0,17332.833333333332,0.0,0.0,1.0,24654.0,39.0,9.0,94.0,10.444444444444445,15.0,4.0,272.77777777777777,3.0,8.0,1.0,9.0,15.0,4.0,17.0,0.0,0.0,0.0,0.0,0.0,0
136,2022-01-18,Казань,27,M,cash,2023-04-01,438,5.0,116708.0,23341.6,12.0,1.0,3.0,58852.0,19617.333333333332,1.0,24606.0,1.0,24606.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
