visit_id,customer_id,visit_time,device,pages_viewed,cart_adds,checkout_initiated,session_duration_sec
57,2,2023-12-15 05:05:01,tablet,22,3,0,748
58,2,2023-03-05 01:46:40,desktop,19,3,1,266
59,2,2023-05-20 19:35:07,desktop,12,3,1,324
60,2,2023-07-23 19:36:13,desktop,3,2,0,78
61,2,2023-12-17 03:49:14,mobile,1,2,1,33
62,2,2023-07-14 13:55:31,desktop,22,0,0,220
63,2,2023-04-14 02:11:37,mobile,15,2,1,525
64,2,2023-02-20 20:50:23,desktop,15,4,1,390
65,2,2023-10-02 09:56:40,mobile,6,2,1,150
66,2,2023-03-26 18:20:38,mobile,18,4,1,468
67,2,2023-06-22 11:48:20,mobile,13,4,1,299
68,2,2023-06-29 18:23:25,mobile,12,1,1,444
69,2,2023-08-12 01:47:04,tablet,3,3,1,51
70,2,2024-02-08 10:49:26,mobile,2,0,0,78
71,2,2023-11-11 12:12:12,tablet,24,2,0,576
72,2,2024-01-05 16:42:51,tablet,16,2,0,528
73,2,2024-03-08 07:29:12,tablet,20,4,0,480
74,2,2023-11-15 15:50:08,tablet,8,3,0,112
75,2,2023-04-30 23:35:57,desktop,18,4,1,702
76,2,2023-06-05 17:51:17,tablet,25,2,1,775
77,2,2023-09-25 03:11:12,tablet,18,4,0,576
78,2,2023-04-25 23:55:13,tablet,1,0,0,34
79,2,2023-05-21 08:33:27,desktop,17,1,0,544
80,2,2024-01-08 13:07:20,desktop,24,2,1,768
81,2,2024-01-03 03:06:12,desktop,9,2,1,189
82,2,2023-09-25 08:45:16,mobile,7,0,0,238
83,2,2023-08-06 03:37:16,tablet,15,2,0,270
84,2,2024-03-02 07:01:44,tablet,21,0,0,672
85,3,2023-02-13 01:57:34,mobile,16,3,1,256
86,3,2024-01-17 06:13:23,tablet,16,0,0,208
87,3,2023-06-14 12:14:49,tablet,21,1,0,294
88,3,2024-01-15 09:41:37,desktop,21,1,1,756
89,3,2023-07-27 12:34:35,mobile,15,1,0,390
90,3,2023-09-22 00:02:34,tablet,10,0,0,210
91,3,2023-08-16 09:22:51,mobile,12,1,0,132
92,3,2023-09-01 12:43:12,tablet,19,4,0,741
93,3,2023-12-13 02:37:45,tablet,2,1,1,30
94,3,2023-07-24 20:25:33,desktop,9,2,1,171
95,3,2023-03-28 08:09:15,mobile,24,2,0,912
96,3,2023-07-28 07:03:35,desktop,22,0,0,330
97,3,2024-01-10 15:27:12,mobile,3,3,0,66
98,3,2023-08-23 19:56:37,tablet,3,4,0,114
99,3,2023-04-17 02:37:01,tablet,25,0,0,275
100,4,2024-02-29 20:13:56,desktop,16,2,1,368
101,4,2023-06-21 17:59:39,desktop,4,4,0,132
102,4,2023-08-27 12:28:16,mobile,17,1,1,323
103,4,2024-01-02 19:23:48,mobile,3,4,0,105
104,4,2023-01-08 12:10:31,desktop,15,0,0,375
105,4,2023-01-06 20:07:38,desktop,10,0,0,320
106,4,2023-02-08 22:35:45,desktop,4,3,0,80
107,4,2024-03-18 12:22:12,desktop,15,0,0,555
108,4,2023-12-21 19:10:42,tablet,23,0,0,529
109,4,2023-10-24 12:11:42,tablet,2,3,1,58
110,4,2024-02-05 09:24:16,desktop,21,3,0,252
111,4,2023-11-04 08:45:53,desktop,6,3,0,144
112,4,2023-09-02 01:54:42,tablet,16,1,1,176
113,4,2023-09-30 17:02:04,mobile,24,3,1,360
114,4,2023-08-27 10:56:37,tablet,21,1,1,546
115,4,2024-02-08 02:47:38,desktop,4,4,0,44
116,4,2023-12-16 19:05:44,tablet,16,2,1,176
117,4,2023-11-28 02:26:09,mobile,14,3,1,504
118,4,2023-12-05 11:36:19,mobile,6,2,1,222
119,4,2023-09-24 11:15:25,tablet,9,1,1,288
120,4,2024-02-16 06:26:40,mobile,4,3,0,92
121,4,2023-02-03 14:02:48,tablet,15,4,1,585
122,4,2023-05-25 12:16:35,tablet,7,4,0,203
123,4,2023-07-29 09:01:02,mobile,17,0,0,255
124,4,2023-11-06 17:56:59,tablet,20,2,1,660
125,4,2023-02-23 15:55:19,mobile,22,3,1,286
126,4,2023-10-07 08:27:29,mobile,18,2,1,342
127,4,2023-10-02 19:51:39,mobile,3,2,1,63
128,4,2023-08-09 12:58:16,desktop,6,1,1,108
129,4,2023-10-01 05:59:35,desktop,6,2,1,228
130,4,2023-09-18 15:29:42,mobile,23,2,1,598
131,4,2023-01-11 16:30:20,mobile,22,0,0,858
132,4,2024-01-04 17:31:06,mobile,16,2,0,576
133,4,2023-12-30 16:14:43,desktop,23,2,0,805
134,4,2024-03-08 01:21:43,mobile,3,4,1,81
135,4,2023-01-21 01:52:27,mobile,8,3,0,296
136,4,2024-03-20 04:03:26,desktop,13,1,1,273
137,5,2023-10-11 04:46:11,tablet,21,3,1,210
138,5,2024-03-05 19:01:47,tablet,24,0,0,768
139,6,2023-09-22 15:26:28,tablet,11,1,1,253
140,6,2023-11-01 07:08:18,desktop,6,0,0,90
141,6,2023-03-19 05:22:33,mobile,5,2,1,105
142,6,2023-10-05 12:37:16,desktop,4,3,0,48
143,6,2024-03-04 18:14:46,tablet,24,1,1,288
144,6,2023-03-07 18:12:38,mobile,11,1,1,154
145,6,2023-06-03 15:29:22,tablet,10,4,0,340
146,6,2023-10-20 15:04:53,mobile,5,0,0,55
147,6,2023-03-15 00:50:57,desktop,15,3,1,165
148,6,2023-03-04 08:48:42,mobile,14,2,1,196
149,6,2024-01-19 02:19:20,tablet,21,4,1,588
150,6,2023-08-25 17:21:39,mobile,8,0,0,128
151,6,2023-06-26 09:33:11,mobile,20,4,1,300
152,6,2023-04-26 14:08:18,mobile,4,0,0,96
153,6,2024-03-16 02:19:41,desktop,16,4,1,528
154,6,2023-12-09 13:48:15,tablet,11,3,1,341
155,6,2023-02-23 14:23:22,mobile,2,0,0,58
156,6,2023-07-31 21:52:55,mobile,15,1,1,570
157,6,2023-08-23 00:51:26,tablet,6,0,0,204
158,6,2023-12-06 13:33:46,mobile,6,3,1,210
159,6,2023-02-07 22:56:30,mobile,22,2,1,352
160,6,2023-07-20 14:06:56,tablet,9,2,1,90
161,7,2023-10-29 02:01:19,mobile,5,4,0,170
162,7,2023-09-09 20:15:46,desktop,25,2,1,325
163,7,2023-06-06 00:53:13,desktop,18,0,0,594
164,7,2024-01-18 05:26:39,desktop,4,2,1,92
165,7,2023-03-31 08:28:13,tablet,11,1,0,154
166,7,2024-03-18 06:26:10,desktop,21,2,1,672
167,7,2023-06-07 23:08:40,desktop,12,3,1,312
168,7,2023-10-22 14:31:52,tablet,22,4,1,462
169,7,2023-05-08 11:09:36,tablet,2,1,0,66
170,7,2024-02-05 04:42:24,tablet,18,1,1,378
171,7,2023-08-03 15:30:55,desktop,2,4,1,56
172,7,2024-02-16 01:17:05,desktop,20,2,1,640
173,7,2023-07-16 10:47:18,tablet,9,4,1,342
174,7,2023-08-09 04:57:49,mobile,2,3,0,26
175,7,2023-07-02 10:46:51,tablet,24,3,1,456
176,7,2023-02-11 07:22:09,mobile,15,1,1,180
177,8,2023-03-25 22:12:58,desktop,7,2,1,224
178,8,2023-06-12 17:10:13,desktop,22,0,0,286
179,8,2024-02-21 17:09:25,tablet,19,4,0,608
180,8,2023-05-13 21:22:29,desktop,24,2,0,480
181,9,2023-05-14 19:09:04,desktop,13,1,1,195
182,9,2023-05-19 06:31:41,desktop,2,3,1,62
183,9,2024-03-19 21:38:07,tablet,9,3,1,198
184,9,2023-08-02 02:41:44,mobile,6,4,1,102
185,9,2023-10-19 13:44:52,mobile,1,4,1,14
186,9,2023-02-20 16:41:20,mobile,9,4,1,225
187,9,2023-08-25 04:16:20,mobile,7,3,0,154
188,9,2024-03-22 01:51:04,tablet,1,4,1,29
189,9,2023-11-16 04:07:42,desktop,14,3,1,210
190,9,2023-11-15 16:19:04,mobile,25,2,1,300
191,9,2023-11-28 05:14:05,desktop,14,3,1,322
192,9,2024-03-26 22:18:35,mobile,4,4,1,104
193,9,2024-01-08 06:11:47,desktop,3,3,0,78
194,9,2023-03-24 08:41:28,mobile,19,2,0,722
195,9,2023-05-10 05:00:41,desktop,6,4,1,102
196,10,2023-03-31 01:30:53,desktop,7,3,1,231
197,10,2023-10-01 13:14:43,desktop,3,1,0,90
198,10,2023-11-17 02:17:11,tablet,17,0,0,204
199,10,2023-09-06 00:06:48,tablet,12,1,1,348
200,10,2023-02-17 23:48:51,mobile,12,2,0,180
201,10,2023-01-05 08:08:45,desktop,20,2,1,480
202,10,2023-11-27 06:33:16,desktop,8,4,0,256
203,10,2023-06-01 16:49:01,tablet,15,1,1,285
204,10,2023-04-13 23:12:34,desktop,22,0,0,594
205,10,2023-03-15 04:06:35,tablet,7,3,0,210
206,10,2023-11-11 12:54:38,tablet,6,0,0,138
207,10,2023-11-17 18:37:42,desktop,24,3,0,864
208,10,2024-02-04 22:04:59,mobile,5,3,0,120
209,10,2023-04-24 15:15:16,desktop,2,4,1,76
210,10,2023-08-08 18:37:45,tablet,3,3,1,108
211,10,2023-08-11 23:51:38,mobile,24,3,0,696
212,10,2023-08-09 04:53:34,tablet,20,2,0,340
213,10,2023-10-13 23:11:56,desktop,21,4,0,210
214,10,2023-06-23 11:44:43,mobile,1,3,1,25
215,10,2024-01-16 04:20:56,tablet,3,0,0,30
216,10,2023-12-30 11:15:23,tablet,20,2,0,560
217,10,2023-05-02 23:30:22,desktop,9,3,1,297
218,10,2023-11-16 19:04:07,desktop,14,3,1,154
219,10,2023-06-18 08:06:16,tablet,4,2,0,120
220,10,2024-02-05 10:48:09,tablet,6,3,0,204
221,10,2023-12-28 09:01:18,desktop,19,4,1,741
222,10,2024-03-02 22:06:09,mobile,20,4,0,560
223,10,2024-02-01 06:27:17,desktop,22,3,0,374
224,10,2023-03-23 06:49:40,mobile,15,0,0,225
225,11,2024-03-24 11:51:23,desktop,8,2,1,104
226,11,2024-01-19 22:07:36,mobile,19,4,1,589
227,11,2023-01-17 04:12:13,tablet,18,0,0,630
228,11,2023-09-12 16:15:25,desktop,19,4,0,513
229,11,2023-02-02 19:15:11,desktop,5,0,0,80
230,11,2023-01-13 03:51:51,mobile,17,4,1,527
231,11,2023-09-02 19:55:28,mobile,7,0,0,175
232,11,2023-01-22 06:51:57,tablet,13,3,0,208
233,11,2023-03-08 01:31:44,mobile,15,1,0,285
234,11,2024-01-17 01:28:52,mobile,4,1,0,136
235,11,2023-09-22 03:22:04,tablet,6,1,0,192
236,11,2023-09-02 14:06:18,desktop,11,0,0,176
237,11,2023-12-17 13:33:46,tablet,18,2,1,702
238,11,2024-01-03 22:40:53,mobile,19,0,0,570
239,11,2023-07-27 17:49:25,tablet,13,4,1,234
240,11,2023-04-19 22:28:05,tablet,3,0,0,39
241,11,2023-08-18 13:41:45,tablet,21,4,1,693
242,11,2023-08-18 00:15:28,tablet,20,0,0,280
243,11,2023-01-13 10:12:09,mobile,19,4,1,285
244,11,2023-09-26 01:27:34,desktop,19,2,1,475
245,11,2024-03-10 15:11:37,desktop,2,0,0,26
246,11,2023-04-09 06:12:17,tablet,4,4,0,148
247,11,2023-01-26 17:07:22,mobile,7,3,1,196
248,11,2023-08-12 07:59:36,mobile,10,0,0,300
249,11,2023-12-14 09:25:19,mobile,21,3,0,252
250,11,2023-11-10 07:49:35,tablet,11,0,0,429
251,11,2023-10-06 08:36:27,desktop,18,2,0,198
252,11,2023-05-03 19:42:22,tablet,3,4,1,84
253,11,2023-09-07 02:04:34,tablet,12,2,1,156
254,11,2023-02-15 08:50:57,desktop,8,4,0,112
255,11,2023-02-03 14:40:40,tablet,12,0,0,420
256,11,2023-04-29 02:29:13,desktop,12,2,0,420
257,11,2024-01-19 15:02:40,tablet,10,1,1,230
258,11,2024-01-17 20:51:16,tablet,22,3,1,352
259,11,2023-06-23 17:41:20,mobile,23,0,0,713
260,11,2023-02-28 22:01:56,mobile,12,3,0,216
261,11,2023-10-19 11:14:17,desktop,4,4,0,128
262,11,2024-02-06 02:08:18,tablet,22,0,0,242
263,11,2023-02-05 05:26:15,mobile,24,0,0,360
264,11,2023-08-31 00:32:45,desktop,12,0,0,240
265,11,2023-05-10 15:25:57,desktop,19,2,1,266
266,11,2023-09-16 14:13:18,tablet,17,2,1,408
267,11,2023-02-05 02:47:49,mobile,17,0,0,527
268,11,2023-09-23 20:08:56,desktop,7,2,0,168
269,12,2023-12-25 18:15:56,mobile,14,0,0,364
270,12,2023-10-06 05:02:16,mobile,14,4,1,378
271,12,2023-11-11 23:29:55,desktop,6,1,1,198
272,12,2023-01-09 07:18:14,desktop,12,1,1,252
273,12,2023-08-24 01:09:05,tablet,14,4,1,448
274,12,2024-01-03 08:39:51,mobile,4,0,0,60
275,12,2023-07-29 18:09:43,tablet,22,4,1,242
276,12,2023-07-16 07:08:14,mobile,4,4,0,148
277,12,2023-06-22 13:19:19,tablet,10,1,1,350
278,12,2023-06-28 13:11:45,mobile,23,0,0,460
279,12,2023-12-15 13:26:18,mobile,24,0,0,696
280,12,2023-12-23 19:37:53,tablet,16,4,1,464
281,12,2023-03-01 11:53:14,mobile,22,0,0,572
282,12,2023-01-22 16:14:11,desktop,4,4,1,104
283,12,2023-08-20 20:22:19,desktop,2,0,0,66
284,12,2023-06-19 18:43:45,mobile,9,3,0,333
285,12,2023-04-25 18:19:43,tablet,15,3,1,300
286,12,2023-12-23 18:30:45,tablet,24,4,0,840
287,12,2024-01-15 19:06:29,mobile,22,2,0,792
288,12,2023-04-25 16:18:29,mobile,24,0,0,552
289,12,2024-01-23 19:50:34,desktop,11,3,0,341
290,12,2023-06-01 12:07:04,mobile,6,2,1,90
291,12,2024-03-16 03:14:30,tablet,8,2,0,200
292,12,2023-06-13 03:52:26,mobile,8,3,0,80
293,12,2023-02-11 10:04:48,tablet,8,3,0,120
294,12,2023-12-02 17:56:06,tablet,5,4,0,150
295,12,2023-05-13 14:36:36,mobile,2,3,0,78
296,12,2023-06-09 00:17:30,desktop,16,1,0,592
297,12,2023-10-15 20:26:30,desktop,1,4,1,10
298,12,2023-10-02 19:52:14,tablet,11,3,1,374
299,12,2023-02-24 23:57:45,desktop,15,1,0,510
300,12,2023-05-19 16:30:12,desktop,16,2,1,480
301,12,2023-06-13 19:32:21,desktop,5,3,1,95
302,12,2023-03-14 20:43:50,mobile,11,0,0,275
303,12,2024-01-29 06:09:46,desktop,6,1,1,120
304,12,2023-01-23 02:17:17,mobile,20,1,0,460
305,12,2023-10-29 01:19:18,mobile,6,2,0,234
306,12,2023-08-27 23:17:57,tablet,17,2,1,306
307,12,2024-03-12 14:11:43,mobile,17,2,0,612
308,13,2023-08-04 18:01:30,tablet,11,4,1,385
309,13,2023-02-19 10:53:45,tablet,14,4,0,308
310,13,2023-09-16 16:38:45,mobile,13,0,0,260
311,13,2023-12-12 18:36:45,tablet,7,1,0,98
312,13,2023-06-07 14:22:25,tablet,17,2,1,561
313,13,2023-04-01 17:06:10,tablet,5,4,1,145
314,13,2024-02-05 06:50:28,desktop,9,0,0,180
315,13,2024-03-14 15:13:35,desktop,2,2,0,28
316,13,2023-06-05 03:53:31,tablet,3,3,0,81
317,13,2023-02-17 04:29:46,mobile,14,3,0,350
318,13,2023-09-25 04:21:20,desktop,1,0,0,28
319,13,2024-02-06 15:08:32,desktop,2,0,0,34
320,13,2023-04-12 05:31:59,tablet,11,3,1,341
321,13,2023-06-26 05:46:38,tablet,6,2,1,132
322,13,2024-03-20 02:36:31,desktop,20,0,0,740
323,13,2024-02-26 12:35:58,desktop,23,2,0,874
324,13,2023-01-23 00:46:54,desktop,5,3,0,190
325,13,2023-06-04 19:40:14,desktop,12,0,0,240
326,13,2023-09-01 00:37:26,tablet,21,2,0,210
327,13,2024-01-16 05:10:32,tablet,3,3,1,84
328,13,2023-09-20 01:34:08,mobile,11,1,1,187
329,13,2024-01-12 23:19:12,tablet,15,1,1,525
330,13,2023-07-01 19:28:36,desktop,25,4,1,975
331,13,2023-01-21 14:58:21,tablet,18,0,0,396
332,13,2024-01-18 18:43:57,mobile,20,0,0,200
333,13,2023-10-26 15:38:06,tablet,13,3,0,273
334,13,2024-01-14 20:03:58,desktop,11,2,0,121
335,13,2023-04-07 23:46:31,mobile,21,3,0,357
336,13,2024-03-24 05:29:43,desktop,5,4,0,55
337,14,2023-09-12 23:33:19,desktop,5,4,1,90
338,14,2023-10-04 08:57:19,desktop,2,3,0,68
339,14,2023-12-31 00:40:21,tablet,4,3,1,52
340,14,2023-09-17 02:04:17,tablet,21,0,0,231
341,14,2023-06-01 22:51:42,mobile,3,0,0,84
342,14,2023-07-07 07:43:01,tablet,9,2,1,261
343,14,2023-10-22 08:48:02,tablet,10,0,0,150
344,14,2024-03-17 13:32:16,tablet,10,0,0,390
345,14,2023-09-27 16:11:39,mobile,10,0,0,300
346,14,2024-02-19 13:16:58,mobile,4,1,0,108
347,14,2023-03-15 05:03:08,desktop,3,0,0,87
348,14,2023-06-04 11:57:12,tablet,11,0,0,220
349,15,2023-11-12 18:38:15,mobile,20,2,1,780
350,15,2024-01-08 21:49:30,mobile,13,2,1,403
351,15,2023-09-06 05:29:58,tablet,24,4,1,816
352,15,2023-04-27 19:42:11,mobile,5,1,0,70
353,15,2023-04-01 17:25:23,desktop,2,2,1,22
354,15,2023-04-30 12:42:03,desktop,3,4,0,51
355,15,2023-12-02 05:50:43,mobile,18,1,0,234
356,15,2023-04-29 21:00:52,tablet,7,1,0,119
357,15,2023-05-07 10:19:06,mobile,25,2,0,550
358,15,2023-07-31 06:14:43,mobile,4,2,1,104
359,15,2024-03-22 01:41:12,tablet,8,2,0,240
360,15,2023-04-25 15:08:04,mobile,1,0,0,11
361,15,2023-02-20 21:10:46,tablet,20,4,1,740
362,15,2023-05-05 15:04:03,tablet,14,3,0,462
363,15,2024-03-27 04:30:22,mobile,1,2,1,27
364,15,2024-03-11 13:03:49,tablet,20,3,1,400
365,15,2023-02-22 04:48:00,mobile,21,4,0,693
366,15,2023-03-25 07:30:08,tablet,6,4,0,78
367,15,2023-12-11 16:42:10,tablet,7,2,1,196
368,15,2023-03-09 17:35:00,tablet,7,3,0,189
369,15,2023-02-10 14:40:38,tablet,1,4,1,39
370,15,2023-03-20 10:39:38,tablet,25,0,0,425
371,15,2023-10-05 03:14:44,desktop,21,0,0,315
372,15,2023-09-07 09:07:19,tablet,4,2,0,96
373,15,2023-12-08 17:24:28,desktop,20,0,0,420
374,15,2023-07-12 17:28:40,tablet,23,0,0,759
375,15,2024-02-13 14:01:57,mobile,5,1,1,55
376,15,2023-12-11 04:43:17,mobile,22,4,0,374
377,15,2023-01-03 07:50:35,tablet,16,4,0,432
378,15,2023-08-08 21:07:51,tablet,21,1,0,756
379,15,2023-04-26 10:32:38,mobile,11,1,0,308
380,15,2023-10-04 15:39:26,mobile,11,2,1,385
381,15,2023-02-13 23:28:12,mobile,10,1,0,260
382,15,2023-01-17 02:50:18,mobile,3,2,1,102
383,15,2023-08-23 20:32:50,tablet,9,3,0,234
384,15,2023-06-13 08:53:21,tablet,9,1,1,252
385,15,2024-03-17 18:46:50,desktop,11,2,1,286
386,15,2023-06-15 10:11:37,tablet,9,0,0,297
387,15,2023-12-13 15:10:03,desktop,13,3,1,494
388,15,2023-06-27 18:50:21,desktop,22,1,1,484
389,15,2023-11-03 12:59:14,desktop,19,3,1,437
390,15,2023-12-12 02:32:22,desktop,10,0,0,140
391,15,2024-02-08 18:30:47,mobile,9,4,0,252
392,15,2023-06-21 08:27:46,tablet,8,0,0,184
393,15,2023-10-13 17:30:55,desktop,6,4,0,174
394,16,2024-03-09 17:55:28,mobile,7,1,0,77
395,16,2023-05-19 04:27:22,desktop,5,1,0,110
396,16,2024-01-30 01:53:03,tablet,10,4,1,200
397,16,2023-11-26 04:32:14,tablet,22,4,1,616
398,16,2024-01-02 17:51:29,tablet,13,2,1,169
399,16,2024-03-21 16:12:41,tablet,23,1,1,782
400,16,2023-04-01 15:06:55,tablet,7,0,0,210
401,16,2023-03-24 01:21:08,tablet,3,3,1,60
402,16,2023-02-13 03:30:29,mobile,16,2,1,560
403,16,2023-01-31 21:38:35,tablet,13,2,1,351
404,16,2023-04-02 14:35:34,desktop,18,4,1,630
405,16,2023-04-23 13:07:37,mobile,17,2,1,238
406,16,2024-03-11 18:48:08,tablet,7,1,1,154
407,16,2024-03-13 14:34:40,desktop,24,2,0,432
408,16,2023-10-27 04:21:09,mobile,9,2,0,288
409,16,2023-03-26 02:34:30,mobile,10,2,0,260
410,16,2023-05-24 00:59:16,mobile,10,1,1,120
411,16,2024-03-15 06:24:15,mobile,16,0,0,352
412,16,2023-08-17 07:59:35,mobile,2,3,0,30
413,16,2023-11-02 04:39:38,mobile,22,3,0,616
414,16,2024-01-04 23:26:09,mobile,4,3,0,136
415,16,2023-05-06 10:29:37,desktop,3,3,0,78
416,16,2023-10-25 12:05:20,mobile,8,1,0,312
417,16,2024-03-26 12:41:14,mobile,17,0,0,340
418,16,2023-02-22 08:40:16,desktop,11,0,0,154
419,16,2024-02-18 00:01:23,mobile,2,2,1,48
420,16,2024-03-28 18:11:21,desktop,11,4,1,143
421,16,2023-09-17 18:56:45,tablet,7,3,0,119
422,16,2023-12-22 09:17:39,mobile,17,4,0,408
423,16,2023-02-22 16:05:43,mobile,19,1,1,361
424,16,2023-03-31 20:10:56,tablet,6,0,0,102
425,16,2023-04-14 20:22:40,desktop,6,3,0,138
426,16,2024-03-01 16:27:02,tablet,12,2,0,276
427,16,2023-05-28 03:28:23,mobile,9,2,1,108
428,16,2023-04-17 21:48:13,tablet,24,2,1,384
429,16,2023-03-25 04:49:59,tablet,17,2,0,306
430,16,2023-11-03 21:02:05,mobile,10,0,0,250
431,17,2023-02-06 03:10:37,mobile,12,2,0,240
432,17,2024-03-20 06:00:07,tablet,15,0,0,435
433,17,2023-06-18 01:35:02,tablet,6,4,1,162
434,17,2023-12-15 17:41:55,mobile,22,1,1,616
435,17,2023-04-24 07:45:25,tablet,16,3,1,544
436,17,2024-01-21 02:36:49,mobile,24,3,0,840
437,17,2023-07-27 15:02:27,mobile,21,1,1,693
438,17,2023-08-19 08:22:52,mobile,13,3,1,468
439,17,2023-06-26 23:33:39,mobile,1,3,0,17
440,17,2023-05-25 12:48:58,mobile,9,4,0,108
441,17,2023-05-19 19:43:33,tablet,19,4,0,247
442,17,2023-08-15 04:29:12,desktop,7,2,0,182
443,17,2023-09-08 03:05:47,tablet,20,1,0,700
444,17,2023-01-19 05:35:09,desktop,11,4,1,308
445,17,2023-09-06 17:24:54,mobile,1,0,0,27
446,17,2023-07-29 05:02:43,tablet,18,0,0,612
447,17,2023-07-21 01:48:49,tablet,6,1,1,96
448,17,2023-03-14 17:14:14,tablet,2,1,1,38
449,17,2023-03-28 08:39:17,desktop,17,4,1,578
450,17,2023-01-02 16:02:13,desktop,5,2,1,160
451,17,2023-08-30 18:56:12,tablet,13,3,1,195
452,17,2023-03-27 01:48:17,desktop,9,0,0,261
453,17,2023-11-21 16:31:24,tablet,18,1,1,504
454,17,2023-11-07 11:45:49,tablet,5,0,0,190
455,17,2024-02-14 23:00:08,desktop,7,2,1,70
456,17,2023-04-12 09:02:10,tablet,4,0,0,72
457,17,2024-02-03 21:55:10,tablet,4,4,1,56
458,17,2023-10-05 22:39:52,mobile,16,4,0,240
459,17,2024-01-12 06:22:41,desktop,11,1,0,308
460,17,2023-09-13 01:12:06,mobile,19,4,0,380
461,17,2023-11-21 21:27:55,mobile,16,3,0,384
462,17,2023-08-18 06:14:03,mobile,20,1,0,260
463,18,2023-05-11 10:24:23,mobile,17,1,1,493
464,18,2023-08-31 10:01:29,desktop,18,4,0,432
465,19,2024-01-26 02:59:56,mobile,25,3,1,300
466,19,2024-01-03 19:27:29,desktop,22,3,1,528
467,19,2023-08-01 10:27:10,mobile,12,2,1,432
468,19,2024-01-06 18:12:01,tablet,11,1,0,220
469,19,2023-06-10 23:06:36,mobile,14,0,0,238
470,19,2024-02-18 18:44:06,desktop,2,3,1,42
471,19,2023-01-12 17:57:00,desktop,13,4,1,325
472,19,2023-02-06 22:54:48,mobile,24,2,1,432
473,19,2023-07-24 15:33:13,tablet,15,1,0,345
474,19,2023-05-20 00:47:03,desktop,17,2,0,595
475,19,2023-11-14 09:52:34,mobile,25,1,1,950
476,19,2024-01-23 07:05:06,desktop,23,3,0,483
477,19,2023-10-21 10:54:39,mobile,25,1,1,975
478,19,2023-01-20 08:20:39,tablet,16,4,1,352
479,19,2023-05-26 12:33:13,tablet,21,0,0,504
